entity_text,entity_label,frequency
first,NUMERIC,64
one,NUMERIC,45
two,NUMERIC,37
four,NUMERIC,33
2026,NUMERIC,32
uk,LOCATION,28
today,NUMERIC,26
2025,NUMERIC,26
democrats,NATIONALITY,26
2024,NUMERIC,25
second,NUMERIC,25
three,NUMERIC,22
palestinian,NATIONALITY,22
australia,LOCATION,22
ted,PLAYER,22
india,LOCATION,21
five,NUMERIC,19
third,NUMERIC,18
england,LOCATION,18
wednesday,NUMERIC,18
japan,LOCATION,17
martin,PLAYER,16
world cup,COMPETITION,16
barghouti,PLAYER,16
thursday,NUMERIC,15
fai,CLUB,14
china,LOCATION,14
american,NATIONALITY,13
newcastle,CLUB,13
henry,PLAYER,13
indiana,LOCATION,13
espn,CLUB,12
friday,NUMERIC,12
u.s.,LOCATION,12
tuesday,NUMERIC,12
schmidt,PLAYER,12
fourth,NUMERIC,11
uefa,LOCATION,11
portage,LOCATION,11
dnc,CLUB,11
last year,NUMERIC,10
orlando,LOCATION,10
washington,LOCATION,10
morocco,LOCATION,10
larry price,PLAYER,10
fifa,CLUB,10
dhs,CLUB,10
joanna,PLAYER,10
kern,PLAYER,10
january,NUMERIC,9
six,NUMERIC,9
ohio state,CLUB,9
10,NUMERIC,9
price,PLAYER,9
canada,LOCATION,9
saudi arabia,LOCATION,9
smith,PLAYER,9
republicans,NATIONALITY,9
house,CLUB,9
lebanon,LOCATION,9
bonta,PLAYER,9
this year,NUMERIC,8
year,NUMERIC,8
ffa,CLUB,8
13,NUMERIC,8
21,NUMERIC,8
hurley,PLAYER,8
larry,PLAYER,8
the world cup,COMPETITION,8
indonesia,LOCATION,8
vietnam,LOCATION,8
olympics,COMPETITION,8
wales,LOCATION,8
myanmar,LOCATION,8
kate,PLAYER,8
byd,CLUB,8
perth,LOCATION,8
rupert,PLAYER,8
mls,CLUB,7
chicago,LOCATION,7
saturday,NUMERIC,7
this week,NUMERIC,7
english,NATIONALITY,7
half,NUMERIC,7
26,NUMERIC,7
2022,NUMERIC,7
2023,NUMERIC,7
eight,NUMERIC,7
morning,NUMERIC,7
20,NUMERIC,7
herdman,PLAYER,7
manchester united,CLUB,7
nigeria,LOCATION,7
united,CLUB,7
chinese,NATIONALITY,7
johnston,PLAYER,7
charlestown,LOCATION,7
italy,LOCATION,7
tanzania,LOCATION,7
cardi,PLAYER,7
palestinians,NATIONALITY,7
brazil,LOCATION,6
october,NUMERIC,6
club,CLUB,6
barrois,PLAYER,6
labour,CLUB,6
premier league,COMPETITION,6
the summer,NUMERIC,6
super falcons,CLUB,6
seven,NUMERIC,6
the united states,LOCATION,6
senegal,LOCATION,6
uzbekistan,LOCATION,6
nsc,CLUB,6
day ago,NUMERIC,6
the white house,CLUB,6
kansas city,LOCATION,6
oranje,CLUB,6
thailand,LOCATION,6
taipei,LOCATION,6
daily,NUMERIC,6
russia,LOCATION,6
croydon,LOCATION,6
prince william,PLAYER,6
weekly,NUMERIC,6
arlington heights,LOCATION,6
illinois,LOCATION,6
ted lasso,PLAYER,6
rebecca,PLAYER,6
simon,PLAYER,6
february 11,NUMERIC,6
olympic,LOCATION,6
svahn,CLUB,6
israeli,NATIONALITY,6
israelis,NATIONALITY,6
netanyahu,PLAYER,6
valle,LOCATION,5
orlando city,LOCATION,5
the kansas city current,CLUB,5
celtic,CLUB,5
wafcon,CLUB,5
"february 12, 2026",NUMERIC,5
50,NUMERIC,5
16,NUMERIC,5
11,NUMERIC,5
matta,PLAYER,5
keir starmer,PLAYER,5
guardian,CLUB,5
arsenal,CLUB,5
manchester city,CLUB,5
leicester,CLUB,5
november,NUMERIC,5
sunday,NUMERIC,5
ireland,LOCATION,5
irish,NATIONALITY,5
years,NUMERIC,5
thune,PLAYER,5
minneapolis,LOCATION,5
lfa,CLUB,5
philippines,LOCATION,5
dpr korea,CLUB,5
london,LOCATION,5
new york,LOCATION,5
castle hill academy,CLUB,5
new addington,LOCATION,5
milligan,PLAYER,5
richmond,LOCATION,5
yiwu,LOCATION,5
wu,PLAYER,5
15,NUMERIC,4
luana,PLAYER,4
lions,CLUB,4
last season,NUMERIC,4
anderson,PLAYER,4
2027,NUMERIC,4
night,NUMERIC,4
this season,NUMERIC,4
the season,NUMERIC,4
spain,LOCATION,4
croatia,LOCATION,4
valentine,PLAYER,4
14,NUMERIC,4
dar es salaam,LOCATION,4
reese,PLAYER,4
12,NUMERIC,4
25,NUMERIC,4
300,NUMERIC,4
georgia,LOCATION,4
hawaii,LOCATION,4
perry,PLAYER,4
french,NATIONALITY,4
40,NUMERIC,4
singapore,LOCATION,4
2016,NUMERIC,4
qatar,LOCATION,4
westminster,LOCATION,4
fa cup,COMPETITION,4
the premier league,COMPETITION,4
thomas tuchel,PLAYER,4
the nations league,COMPETITION,4
liverpool,CLUB,4
2028,NUMERIC,4
tuchel,PLAYER,4
northern ireland,LOCATION,4
afternoon,NUMERIC,4
the women’s super league,CLUB,4
nine,NUMERIC,4
nnadozie,CLUB,4
ivory coast,LOCATION,4
group c,CLUB,4
tuchel,CLUB,4
nfhs,CLUB,4
jv,CLUB,4
fanvue,PLAYER,4
leicester city,LOCATION,4
instagram,CLUB,4
americans,NATIONALITY,4
riverside,LOCATION,4
the afc u17 women's asian cup,CLUB,4
dpr korea,LOCATION,4
tokyo,LOCATION,4
trinity,CLUB,4
florida,LOCATION,4
partey,PLAYER,4
32,NUMERIC,4
charlotte,PLAYER,4
kim,PLAYER,4
8pm,NUMERIC,4
7pm,NUMERIC,4
mayo,CLUB,4
breitzke,PLAYER,4
the super bowl,COMPETITION,4
british,NATIONALITY,4
democratic,NATIONALITY,4
d.c.,LOCATION,4
gujarat,LOCATION,4
south africa,LOCATION,4
stefon,PLAYER,4
olympians,NATIONALITY,4
xinhua,CLUB,4
the west bank,LOCATION,4
nitysh mercado,PLAYER,3
pineda,PLAYER,3
the almond festival,COMPETITION,3
camargo,PLAYER,3
apple tv,CLUB,3
chelsea,CLUB,3
the czech republic,LOCATION,3
hailie mace,PLAYER,3
ninth,NUMERIC,3
jeffrey epstein,PLAYER,3
celtic plc,CLUB,3
the champions league,COMPETITION,3
4th,NUMERIC,3
october 2025,NUMERIC,3
january 2026,NUMERIC,3
the six months ended 31 december 2025,NUMERIC,3
the previous year,NUMERIC,3
martin,CLUB,3
caf,CLUB,3
africa,LOCATION,3
south africa’s,LOCATION,3
buckeyes,LOCATION,3
downs,CLUB,3
big board,CLUB,3
ohio state,LOCATION,3
thad matta,PLAYER,3
dan hurley,PLAYER,3
butler,PLAYER,3
2021,NUMERIC,3
three years,NUMERIC,3
the day,NUMERIC,3
this summer,NUMERIC,3
60,NUMERIC,3
portugal,LOCATION,3
german,NATIONALITY,3
the hyundai cup,COMPETITION,3
afc,CLUB,3
new zealand,LOCATION,3
fifa world cup,COMPETITION,3
us,LOCATION,3
wes streeting,PLAYER,3
whatsapp,CLUB,3
2010,NUMERIC,3
yesterday,NUMERIC,3
brentford,CLUB,3
north america,LOCATION,3
evening,NUMERIC,3
scotland,LOCATION,3
hungary,LOCATION,3
2014,NUMERIC,3
michelle alozie,PLAYER,3
ashleigh plumptre,PLAYER,3
the super falcons,CLUB,3
later this month,NUMERIC,3
ghana,LOCATION,3
malawi,LOCATION,3
ochei,PLAYER,3
nigerian,NATIONALITY,3
commission,CLUB,3
bullingham,PLAYER,3
fam,CLUB,3
uefa,CLUB,3
flambeau,CLUB,3
last month,NUMERIC,3
the department of homeland security,CLUB,3
feb. 12,NUMERIC,3
the save act,MISC,3
the kansas city current,LOCATION,3
netherlands,LOCATION,3
new delhi,LOCATION,3
21 years,NUMERIC,3
the republic of korea,LOCATION,3
suzhou,LOCATION,3
hong kong,LOCATION,3
beijing,LOCATION,3
this afternoon,NUMERIC,3
korea republic,LOCATION,3
ioc,CLUB,3
2025-2026,NUMERIC,3
sydney,LOCATION,3
10th,NUMERIC,3
saudi,NATIONALITY,3
2017,NUMERIC,3
terminal hall,LOCATION,3
monday,NUMERIC,3
the charlestown arts centre,CLUB,3
walsh’s public house,CLUB,3
the yeats county inn,LOCATION,3
curry,PLAYER,3
"saturday, february 14",NUMERIC,3
wexford,LOCATION,3
hammond,LOCATION,3
iowa,LOCATION,3
maletta,CLUB,3
chicagoland,LOCATION,3
2020,NUMERIC,3
games,CLUB,3
virginia,LOCATION,3
palestine,LOCATION,3
italian,NATIONALITY,3
ahmedabad,LOCATION,3
afghanistan,LOCATION,3
britain,LOCATION,3
nigel farage,PLAYER,3
juma,PLAYER,3
dropkin,PLAYER,3
anna,PLAYER,3
hoyle,PLAYER,3
nordic,NATIONALITY,3
the olympic sprint,COMPETITION,3
30th,NUMERIC,3
diggins,PLAYER,3
diggins,CLUB,3
feb. 10,NUMERIC,3
the board of peace,CLUB,3
pa,LOCATION,3
arab,NATIONALITY,3
30,NUMERIC,2
el toro meat market,CLUB,2
mariani nut company,CLUB,2
the associated student body,CLUB,2
all four years,NUMERIC,2
puente,LOCATION,2
kamila,PLAYER,2
liz,PLAYER,2
moreno,PLAYER,2
moreno,CLUB,2
four-year,NUMERIC,2
previous years,NUMERIC,2
karlstad,LOCATION,2
karlstad,CLUB,2
paris,LOCATION,2
lion links lion links,CLUB,2
hannah anderson,PLAYER,2
orlando city’s,LOCATION,2
"70,000",NUMERIC,2
venezuela,LOCATION,2
mexico,LOCATION,2
spanish,NATIONALITY,2
nottingham forest,CLUB,2
dyche,CLUB,2
forest,CLUB,2
the first half,NUMERIC,2
this weekend,NUMERIC,2
nolan miller,PLAYER,2
the second,NUMERIC,2
20-year-old,NUMERIC,2
michigan,LOCATION,2
recent years,NUMERIC,2
mace,PLAYER,2
seb,PLAYER,2
nwsl,COMPETITION,2
"100,000",NUMERIC,2
16th,NUMERIC,2
ghislaine maxwell,PLAYER,2
lionel messi,PLAYER,2
puerto rico,LOCATION,2
march 1,NUMERIC,2
28.9%,MISC,2
the uefa europa league,COMPETITION,2
europa league,COMPETITION,2
february 2026,NUMERIC,2
3rd,NUMERIC,2
59.4,NUMERIC,2
83.5,NUMERIC,2
26.9,NUMERIC,2
14.1,NUMERIC,2
21.5,NUMERIC,2
champions league,COMPETITION,2
spfl,CLUB,2
the scottish cup,COMPETITION,2
europe,LOCATION,2
elena,PLAYER,2
recent months,NUMERIC,2
board,CLUB,2
peter lawwell's,PLAYER,2
celtic football club,CLUB,2
european,NATIONALITY,2
peter,PLAYER,2
half-yearly,NUMERIC,2
group,CLUB,2
2410,NUMERIC,2
the confederation of african football,CLUB,2
patrice motsepe,PLAYER,2
the women’s world cup,COMPETITION,2
dane brugler,PLAYER,2
54,NUMERIC,2
top-10,NUMERIC,2
brugler,PLAYER,2
caleb downs,PLAYER,2
oregon,LOCATION,2
miami,LOCATION,2
francis mauigoa,PLAYER,2
carnell tate,PLAYER,2
alabama,LOCATION,2
all-american,NATIONALITY,2
april,NUMERIC,2
february 12,NUMERIC,2
499,NUMERIC,2
every night,NUMERIC,2
blangiardi,PLAYER,2
the fifa world cup,COMPETITION,2
l.a.,LOCATION,2
world cups,COMPETITION,2
argentina,LOCATION,2
july,NUMERIC,2
august,NUMERIC,2
cambodia,LOCATION,2
timor-leste,CLUB,2
brunei,LOCATION,2
serie a,COMPETITION,2
june,NUMERIC,2
the asian cup,COMPETITION,2
erick thohir,PLAYER,2
inter milan,CLUB,2
peter mandelson’s,PLAYER,2
starmer,PLAYER,2
mandelson,PLAYER,2
epstein,PLAYER,2
henry dyer,PLAYER,2
barack obama,PLAYER,2
lords,CLUB,2
ppe,CLUB,2
ai,CLUB,2
jim ratcliffe,PLAYER,2
the etihad stadium,LOCATION,2
the football association,CLUB,2
brussels,LOCATION,2
norway,LOCATION,2
switzerland,LOCATION,2
austria,LOCATION,2
kosovo,LOCATION,2
ratcliffe,PLAYER,2
manchester,LOCATION,2
liam rosenior,PLAYER,2
"february 11, 2026",NUMERIC,2
three weeks ago,NUMERIC,2
the international federation of football history,CLUB,2
statistics women’s,CLUB,2
africa xi,PLAYER,2
brighton,CLUB,2
west ham united,CLUB,2
brighton women,CLUB,2
the iffhs caf women’s xi,CLUB,2
paris fc,CLUB,2
brighton & hove albion,CLUB,2
houston dash,CLUB,2
chicago stars fc,CLUB,2
the new season,NUMERIC,2
esther okoronkwo,PLAYER,2
falcons,CLUB,2
west african,NATIONALITY,2
abidjan,LOCATION,2
the west african football union (wafu,CLUB,2
"february 27 to march 7, 2026",NUMERIC,2
10 days,NUMERIC,2
"march 17 to april 3, 2026",NUMERIC,2
zambia,LOCATION,2
egypt,LOCATION,2
nduka odizor,PLAYER,2
diaspora,NATIONALITY,2
training grants,CLUB,2
n200 million,MISC,2
elite and podium board,CLUB,2
football association,CLUB,2
amorim,CLUB,2
carrick,PLAYER,2
the 2026 world cup,COMPETITION,2
fifa u-20 women’s world cup,COMPETITION,2
thousands,NUMERIC,2
12th,NUMERIC,2
last week,NUMERIC,2
basketball ireland,LOCATION,2
the israel fa,CLUB,2
october 2023,NUMERIC,2
belgium,LOCATION,2
2006,NUMERIC,2
2019,NUMERIC,2
osaa,CLUB,2
sixth,NUMERIC,2
27-year-old,NUMERIC,2
swiss,NATIONALITY,2
aston villa,CLUB,2
lehmann,PLAYER,2
52,NUMERIC,2
john thune,PLAYER,2
tom homan,PLAYER,2
chuck schumer,PLAYER,2
hakeem jeffries,PLAYER,2
obernolte,PLAYER,2
the transportation security administration,CLUB,2
last-minute,NUMERIC,2
wednesday night,NUMERIC,2
wapo,CLUB,2
d-ny,CLUB,2
coast guard,CLUB,2
african,NATIONALITY,2
liberia,LOCATION,2
kuala lumpur,LOCATION,2
malaysia,LOCATION,2
the all india football federation,CLUB,2
kyrgyz republic,LOCATION,2
kuwait,LOCATION,2
iran,LOCATION,2
the afc u17 women's asian cup china 2026,CLUB,2
the suzhou sports centre stadium,CLUB,2
the fifa u17 women's world cup morocco,COMPETITION,2
ani,CLUB,2
singapore star,CLUB,2
jimmy lai,PLAYER,2
78-year-old,NUMERIC,2
20-year,NUMERIC,2
japanese,NATIONALITY,2
sanae takaichi's,PLAYER,2
two-thirds,NUMERIC,2
christie o'sullivan,PLAYER,2
moscow,LOCATION,2
cuba,LOCATION,2
san francisco,LOCATION,2
california,LOCATION,2
mental health week,CLUB,2
anisha,CLUB,2
children's mental health week,MISC,2
hunter,PLAYER,2
signup,NUMERIC,2
women's asian cup,CLUB,2
australia cup,COMPETITION,2
100 percent,MISC,2
9:45pm,NUMERIC,2
novocastrians,NATIONALITY,2
melbourne,LOCATION,2
these days,NUMERIC,2
mark milligan,PLAYER,2
australian,NATIONALITY,2
alm,CLUB,2
macarthur,PLAYER,2
ajibade,CLUB,2
the misk sports centre,CLUB,2
princess charlotte,PLAYER,2
prince george,PLAYER,2
tonight,NUMERIC,2
english,MISC,2
the last night,NUMERIC,2
leuven,PLAYER,2
the uefa women's champions league,COMPETITION,2
renée,PLAYER,2
bruno cannavan,PLAYER,2
4.00pm,PLAYER,2
the arts centre,LOCATION,2
nights,NUMERIC,2
main street,LOCATION,2
mornings,NUMERIC,2
february 10,NUMERIC,2
sophie,PLAYER,2
annual,NUMERIC,2
u12,CLUB,2
that day,NUMERIC,2
gary,PLAYER,2
redevelopment commission,CLUB,2
portage,PLAYER,2
northwest indiana,LOCATION,2
weisbach,PLAYER,2
bonta,LOCATION,2
the south shore line,LOCATION,2
the indiana senate,CLUB,2
the diamond dogs,MISC,2
rebecca welton,PLAYER,2
bex,PLAYER,2
ted lasso',PLAYER,2
roy,PLAYER,2
the winter games,COMPETITION,2
ken martin,PLAYER,2
february,NUMERIC,2
longwell,CLUB,2
new jersey,LOCATION,2
hundreds,NUMERIC,2
2008,NUMERIC,2
the afc u17 asian cup saudi arabia 2026,CLUB,2
the afc u17 asian cup,CLUB,2
the fifa u17 world cup,COMPETITION,2
november 2025,NUMERIC,2
pot 3,NUMERIC,2
tajikistan,LOCATION,2
yemen,LOCATION,2
pot 2,PLAYER,2
united arab emirates,LOCATION,2
a1,MISC,2
8),LOCATION,2
zimbabwe star,CLUB,2
29-13,NUMERIC,2
bad bunny,PLAYER,2
nairobi,LOCATION,2
jackline juma,PLAYER,2
cameroon,LOCATION,2
botswana,LOCATION,2
weeks,NUMERIC,2
jacob rees-mogg,PLAYER,2
five-day,NUMERIC,2
fifa u20 women’s world cup,COMPETITION,2
kenya,LOCATION,2
poland,LOCATION,2
swedes,NATIONALITY,2
tuesday night,NUMERIC,2
swedish,NATIONALITY,2
olympic,COMPETITION,2
thiesse,LOCATION,2
sports illustrated,CLUB,2
louisville,LOCATION,2
jets,CLUB,2
davis,PLAYER,2
cass,PLAYER,2
thies,LOCATION,2
dakar,LOCATION,2
oslo,LOCATION,2
jessie diggins,PLAYER,2
linn svahn,PLAYER,2
maia dahlqvist,PLAYER,2
val di fiemme,PLAYER,2
julia kern,PLAYER,2
jortberg,PLAYER,2
stanford,CLUB,2
skistad,CLUB,2
sprint,CLUB,2
faehndrich,PLAYER,2
dahlqvist,PLAYER,2
skistad),CLUB,2
fasterskier,PLAYER,2
the fifa women’s world cup,COMPETITION,2
hangzhou,LOCATION,2
just four months,NUMERIC,2
brazil sun,CLUB,2
meshaal,PLAYER,2
7th,NUMERIC,2
fadwa,LOCATION,2
the esparto and capay valley,CLUB,1
2026 capay valley almond queen,COMPETITION,1
"saturday, feb. 14",NUMERIC,1
the western yolo grange hall,CLUB,1
guinda,LOCATION,1
6 p.m.,NUMERIC,1
the esparto chamber of commerce website,CLUB,1
the almond queen association,CLUB,1
esparto watch,CLUB,1
ages 12,NUMERIC,1
ages 85,NUMERIC,1
dessert,PLAYER,1
road trip bar & grill,CLUB,1
$2000+,NUMERIC,1
harlee,PLAYER,1
$500+,NUMERIC,1
cork & co,CLUB,1
substation solutions,CLUB,1
james,PLAYER,1
deborah durst,PLAYER,1
$250+,NUMERIC,1
dsa bees,CLUB,1
"liz, cork & co",CLUB,1
150,NUMERIC,1
capay valley,LOCATION,1
casara pineda pineda,PLAYER,1
victoria mercado,PLAYER,1
the spanish club,CLUB,1
hispanic,NATIONALITY,1
two years,NUMERIC,1
age 6,NUMERIC,1
eighth,NUMERIC,1
casara,PLAYER,1
pineda,CLUB,1
kaylee wiskur,PLAYER,1
clayton wiskur,PLAYER,1
esparto high school,CLUB,1
the almond festival queen pageant,COMPETITION,1
moreno moreno,PLAYER,1
salvador moreno,PLAYER,1
juan pablo moreno,PLAYER,1
four years,NUMERIC,1
the yolo county fair,CLUB,1
the ffa almond festival pancake breakfast,MISC,1
each year,NUMERIC,1
asb,CLUB,1
the past two years,NUMERIC,1
the outstanding freshman award,CLUB,1
the aa ace award,CLUB,1
kaleidoscope salon,CLUB,1
makenzie karlstad karlstad,CLUB,1
ashley,PLAYER,1
marcus karlstad,PLAYER,1
marcus karlstad jr.,PLAYER,1
the journalism club,CLUB,1
the fccla club,CLUB,1
the yolo county impromptu,LOCATION,1
star,CLUB,1
defensive mvp,PLAYER,1
cork & co.,CLUB,1
valle valle,LOCATION,1
jenny dutton,PLAYER,1
casie valle,PLAYER,1
the elk lodge dinner,CLUB,1
spaghetti feed,CLUB,1
her sophomore year,NUMERIC,1
coachable,MISC,1
butte community college,CLUB,1
chico state,LOCATION,1
esparto,CLUB,1
2025 almond queen,MISC,1
breanna paris,PLAYER,1
"1,000",NUMERIC,1
aileen oregel-chavez,PLAYER,1
250,NUMERIC,1
alexis prado,PLAYER,1
almond queen,COMPETITION,1
prado,CLUB,1
woodland community college,CLUB,1
2/13/26,NUMERIC,1
season,NUMERIC,1
friday the 13th,NUMERIC,1
next weekend,NUMERIC,1
hannah anderson prepares,PLAYER,1
first season,CLUB,1
the chicago stars,CLUB,1
two seasons,NUMERIC,1
24-year-old,NUMERIC,1
pride,MISC,1
chicago cubs,CLUB,1
jack neely,PLAYER,1
emily sams,PLAYER,1
a breakout year,NUMERIC,1
luana returns,PLAYER,1
brazil national team orlando pride,CLUB,1
costa rica,LOCATION,1
a few weeks,NUMERIC,1
arthur elias,PLAYER,1
the national team,CLUB,1
pride,NATIONALITY,1
adriana,PLAYER,1
women’s world cup,COMPETITION,1
the fourth mls season,NUMERIC,1
everpass media,CLUB,1
just a day,NUMERIC,1
thomas franks,PLAYER,1
tottenham,CLUB,1
sean dyche,PLAYER,1
wolverhampton,CLUB,1
the month,NUMERIC,1
vitor pereira,PLAYER,1
the same season,NUMERIC,1
free kicks,PLAYER,1
maxime crepeau,PLAYER,1
duncan mcguire,PLAYER,1
camping world stadium,LOCATION,1
$400 million,NUMERIC,1
atletico madrid,CLUB,1
barcelona,CLUB,1
feyenoord,CLUB,1
the uefa nations league,COMPETITION,1
a lucky day,NUMERIC,1
2/12/26,NUMERIC,1
rookie season,NUMERIC,1
mane landers,PLAYER,1
abba,CLUB,1
fc,CLUB,1
cincinnati,LOCATION,1
tampa,LOCATION,1
cincy,LOCATION,1
evander,PLAYER,1
just five minutes,NUMERIC,1
martin ojeda,PLAYER,1
tiago,PLAYER,1
colorado rapids,LOCATION,1
nolan miller ready,PLAYER,1
rookie season drafted,COMPETITION,1
21-year-old,NUMERIC,1
earlier this month,NUMERIC,1
miller,PLAYER,1
tomorrow,NUMERIC,1
seb hines,PLAYER,1
the city beautiful,LOCATION,1
marta,PLAYER,1
barbra banda,PLAYER,1
nwsl star midfielders,COMPETITION,1
croix bethune,PLAYER,1
the current in exchange,CLUB,1
"900,000",NUMERIC,1
allocation money,CLUB,1
bethune,PLAYER,1
spirit,CLUB,1
soccer operations,CLUB,1
haley carter,PLAYER,1
claire hutton,PLAYER,1
bay fc,CLUB,1
$1.1 million,NUMERIC,1
the year,NUMERIC,1
22,NUMERIC,1
the current last season,NUMERIC,1
the u.s. virgin islands,LOCATION,1
cbs sports’,CLUB,1
the upcoming season,NUMERIC,1
inter miami,LOCATION,1
nashville,LOCATION,1
st. louis city,LOCATION,1
the houston dynamo,CLUB,1
the shebelieves cup,COMPETITION,1
abby wambach,PLAYER,1
casey wasserman’s,PLAYER,1
feb. 26,NUMERIC,1
just a few days,NUMERIC,1
thomas frank,PLAYER,1
a disastrous season,NUMERIC,1
just five,NUMERIC,1
the six months ending december 31,NUMERIC,1
£59.4 million,NUMERIC,1
£83.5 million,NUMERIC,1
the prior year,NUMERIC,1
£4.2 million,NUMERIC,1
£26.9 million,NUMERIC,1
£13.2 million,NUMERIC,1
£43.9 million,NUMERIC,1
£67.4 million,NUMERIC,1
